Document,Section,Chapter,Keywords,PDF Start Page,PDF End Page,Markdown File
Information Systems 622 Study Guide,PRINTED OUTPUT,CHAPTER 2: User Interface Design,output; will; why; delivered; needed; specific; before; designing; several; critical; addressed; being,57,57,documents/information-systems-622-study-guide/sections/2-6-printed-output.md
Information Systems 622 Study Guide,Report Design,CHAPTER 2: User Interface Design,reports; report; design; many; users; such; output; they; used; which; designers; like,58,58,documents/information-systems-622-study-guide/sections/2-6-1-report-design.md
Information Systems 622 Study Guide,Report Design Principles,CHAPTER 2: User Interface Design,report; design; control; reports; fields; number; like; elements; header; footer; consistent; principles,58,59,documents/information-systems-622-study-guide/sections/2-6-2-report-design-principles.md
Information Systems 622 Study Guide,Types of Reports,CHAPTER 2: User Interface Design,report; reports; might; user; not; detailed; exception; manager; types; specific; needs; detail,60,60,documents/information-systems-622-study-guide/sections/2-6-3-types-of-reports.md
Information Systems 622 Study Guide,TECHNOLOGY ISSUES,CHAPTER 2: User Interface Design,output; technology; input; issues; like; user; must; will; customers; interfaces; changes; technologies,60,63,documents/information-systems-622-study-guide/sections/2-7-technology-issues.md
Information Systems 622 Study Guide,SECURITY AND CONTROL ISSUES,CHAPTER 2: User Interface Design,security; control; its; issues; company; must; prioritize; protection; not; only; own; but,64,64,documents/information-systems-622-study-guide/sections/2-8-security-and-control-issues.md
Information Systems 622 Study Guide,Output Security and Control,CHAPTER 2: User Interface Design,output; security; control; report; accuracy; complete; unauthorized; access; methods; like; number; totals,64,64,documents/information-systems-622-study-guide/sections/2-8-1-output-security-and-control.md
Information Systems 622 Study Guide,Input Security and Control,CHAPTER 2: User Interface Design,input; control; security; entered; audit; source; key; trail; ensures; accurate; complete; secure,65,65,documents/information-systems-622-study-guide/sections/2-8-2-input-security-and-control.md
Information Systems 622 Study Guide,EMERGING TRENDS,CHAPTER 2: User Interface Design,design; modules; emerging; trends; modular; can; individual; components; created; connect; larger; represents,66,66,documents/information-systems-622-study-guide/sections/2-9-emerging-trends.md
Information Systems 622 Study Guide,Responsive Web Design,CHAPTER 2: User Interface Design,design; responsive; web; rwd; device; screen; devices; content; displayed; need; sizes; user,67,67,documents/information-systems-622-study-guide/sections/2-9-2-responsive-web-design.md
Information Systems 622 Study Guide,Prototyping,CHAPTER 2: User Interface Design,prototyping; feedback; user; prototype; model; process; design; requirements; users; used; final; where,67,68,documents/information-systems-622-study-guide/sections/2-9-3-prototyping.md
Information Systems 622 Study Guide,SUMMARY,CHAPTER 2: User Interface Design,input; zone; user; design; control; such; interface; feedback; buttons; can; source; reports,69,76,documents/information-systems-622-study-guide/sections/2-10-summary.md
Information Systems 622 Study Guide,CHAPTER 3: Data Design,CHAPTER 3: Data Design,design; outcomes; reading; learner,77,77,documents/information-systems-622-study-guide/sections/3-chapter-3-data-design.md
Information Systems 622 Study Guide,DATA DESIGN CONCEPTS,CHAPTER 3: Data Design,design,77,77,documents/information-systems-622-study-guide/sections/3-1-data-design-concepts.md
Information Systems 622 Study Guide,Data Structures,CHAPTER 3: Data Design,structures; explain; design; including; relational; database; model; define; storage; file; table; may,77,77,documents/information-systems-622-study-guide/sections/3-1-1-data-structures.md
Information Systems 622 Study Guide,Mario and Danica: A Data Design Example,CHAPTER 3: Data Design,mechanic; mario; danica; shop; two; file-oriented; file; job; stored; database; pay; design,78,79,documents/information-systems-622-study-guide/sections/3-1-2-mario-and-danica-a-data-design-example.md
Information Systems 622 Study Guide,Database Management Systems,CHAPTER 3: Data Design,database; dbms; supports; access; include; scalability; needs; economy; scale; processing; provides; comprehensive,80,80,documents/information-systems-622-study-guide/sections/3-1-3-database-management-systems.md
Information Systems 622 Study Guide,DBMS COMPONENTS,CHAPTER 3: Data Design,database; dbms; components; users; interface; access; while; needs; schema; subschemas; serves; who,81,81,documents/information-systems-622-study-guide/sections/3-2-dbms-components.md
Information Systems 622 Study Guide,"Interfaces for Users, Database Administrators, and Related Systems",CHAPTER 3: Data Design,users; database; related; query; dbas; dbms; interfaces; administrators; request; language; use; access,82,82,documents/information-systems-622-study-guide/sections/3-2-1-interfaces-for-users-database-administrators-and-related-systems.md
Information Systems 622 Study Guide,Schema,CHAPTER 3: Data Design,schema; subschemas; defines; structure; database; while; represent; views; perspectives; user; needs,81,81,documents/information-systems-622-study-guide/sections/3-2-2-schema.md
Information Systems 622 Study Guide,Physical Data Repository,CHAPTER 3: Data Design,database; users; query; access; related; dbas; dbms; request; language; use; commands; they,81,82,documents/information-systems-622-study-guide/sections/3-2-3-physical-data-repository.md
Information Systems 622 Study Guide,WEB-BASED DESIGN,CHAPTER 3: Data Design,web-based; internet; database; can; design; software; access; web; commands; html; middleware; figure,83,84,documents/information-systems-622-study-guide/sections/3-3-web-based-design.md
Information Systems 622 Study Guide,DATA DESIGN TERMS,CHAPTER 3: Data Design,design; terms; discussed; earlier; analyst; can; select; approach; begin; constructing; first; step,85,85,documents/information-systems-622-study-guide/sections/3-4-data-design-terms.md
Information Systems 622 Study Guide,Definitions,CHAPTER 3: Data Design,entity; field; customer; table; fields; key; entities; used; record; primary; file; candidate,85,87,documents/information-systems-622-study-guide/sections/3-4-1-definitions.md
Information Systems 622 Study Guide,Referential Integrity,CHAPTER 3: Data Design,referential; integrity; table; advisor; key; customer; foreign; value; unless; primary; another; order,88,88,documents/information-systems-622-study-guide/sections/3-4-2-referential-integrity.md
Information Systems 622 Study Guide,ENTITY RELATIONSHIP DIAGRAMS,CHAPTER 3: Data Design,entity; entities; relationship; diagrams; relationships; instance; have; erd; refers; person; place; thing,89,89,documents/information-systems-622-study-guide/sections/3-5-entity-relationship-diagrams.md
Information Systems 622 Study Guide,Drawing an ERD,CHAPTER 3: Data Design,entities; relationships; drawing; erd; entity; approach; erds; rectangles; labeled; first; step; creating,89,89,documents/information-systems-622-study-guide/sections/3-5-1-drawing-an-erd.md
Information Systems 622 Study Guide,Types of Relationships,CHAPTER 3: Data Design,relationship; many; entity; can; instance; many-to-many; second; first; relationships; connecting; shown; figure,90,92,documents/information-systems-622-study-guide/sections/3-5-2-types-of-relationships.md
Information Systems 622 Study Guide,Normalization Stages,CHAPTER 3: Data Design,normal; form; stages; normalization; third; design; business; process; typically; includes; four; unnormalized,93,93,documents/information-systems-622-study-guide/sections/3-6-normalization-stages.md
Information Systems 622 Study Guide,Standard Notation Format,CHAPTER 3: Data Design,field; repeating; notation; fields; order; design; number; table; name; group; unnormalized; standard,93,94,documents/information-systems-622-study-guide/sections/3-6-1-standard-notation-format.md
Information Systems 622 Study Guide,First Normal Form,CHAPTER 3: Data Design,order; number; product; repeating; group; primary; key; table; design; form; fields; description,95,95,documents/information-systems-622-study-guide/sections/3-6-2-first-normal-form.md
Information Systems 622 Study Guide,Second Normal Form,CHAPTER 3: Data Design,field; repeating; number; design; fields; order; normal; form; notation; table; name; group,93,98,documents/information-systems-622-study-guide/sections/3-6-3-second-normal-form.md
Information Systems 622 Study Guide,Third Normal Form,CHAPTER 3: Data Design,design; supplier; field; key; name; nonkey; product; table; third; normal; form; order,99,100,documents/information-systems-622-study-guide/sections/3-6-4-third-normal-form.md
Information Systems 622 Study Guide,Two Real-World Examples,CHAPTER 3: Data Design,number; course; advisor; table; name; credits; grade; figure; entities; design; repeating; group,101,108,documents/information-systems-622-study-guide/sections/3-6-5-two-real-world-examples.md
Information Systems 622 Study Guide,CODES,CHAPTER 3: Data Design,codes; sequences; letters; numbers; used; represent; items; offering; simplified; way; handle; format,109,109,documents/information-systems-622-study-guide/sections/3-7-codes.md
Information Systems 622 Study Guide,Overview of Codes,CHAPTER 3: Data Design,codes,109,109,documents/information-systems-622-study-guide/sections/3-7-1-overview-of-codes.md
Information Systems 622 Study Guide,Types of Codes,CHAPTER 3: Data Design,codes; numbers; course; use; sequence; types; assigned; items; indicates; block; such; alphabetic,110,112,documents/information-systems-622-study-guide/sections/3-7-2-types-of-codes.md
Information Systems 622 Study Guide,Designing Codes,CHAPTER 3: Data Design,codes; code; number; designing; keep; need; will; future; might; use; can; both,113,113,documents/information-systems-622-study-guide/sections/3-7-3-designing-codes.md
Information Systems 622 Study Guide,DATA STORAGE AND ACCESS,CHAPTER 3: Data Design,storage; access; include; strategic; business; tools; like; warehousing; mining; software; they; encompass,114,114,documents/information-systems-622-study-guide/sections/3-8-data-storage-and-access.md
Information Systems 622 Study Guide,Tools and Techniques,CHAPTER 3: Data Design,warehouse; tools; access; can; such; specific; sales; mart; needs; storage; databases; making,114,117,documents/information-systems-622-study-guide/sections/3-8-1-tools-and-techniques.md
Information Systems 622 Study Guide,DATA CONTROL,CHAPTER 3: Data Design,control; database; must; ensure; files; features; crucial; secure; physical; aspect; illustrated; figure,118,118,documents/information-systems-622-study-guide/sections/3-9-data-control.md
Information Systems 622 Study Guide,SUMMARY,CHAPTER 3: Data Design,database; dbms; access; tables; security; user; which; entity; files; file-oriented; manage; stored,119,122,documents/information-systems-622-study-guide/sections/3-10-summary.md
Information Systems 622 Study Guide,CHAPTER 4: System Architecture,CHAPTER 4: System Architecture,architecture; outline; discuss; solutions; network; topologies; outcomes; reading; learner; create; checklist; factors,123,123,documents/information-systems-622-study-guide/sections/4-chapter-4-system-architecture.md
Information Systems 622 Study Guide,ARCHITECTURE CHECKLIST,CHAPTER 4: System Architecture,architecture; companies; organization; erp; bikes; checklist; design; software; processing; consider; corporate; culture,123,124,documents/information-systems-622-study-guide/sections/4-1-architecture-checklist.md
Information Systems 622 Study Guide,Initial Cost and TCO,CHAPTER 4: System Architecture,tco; have; any; cost; there; initial; still; new; economic; analysis; costs; support,125,125,documents/information-systems-622-study-guide/sections/4-1-3-initial-cost-and-tco.md
Information Systems 622 Study Guide,Scalability,CHAPTER 4: System Architecture,scalability,123,123,documents/information-systems-622-study-guide/sections/4-1-4-scalability.md
Information Systems 622 Study Guide,Web Integration,CHAPTER 4: System Architecture,companies; erp; bikes; both; integration; organization; its; architecture; software; order; web; processing,123,125,documents/information-systems-622-study-guide/sections/4-1-5-web-integration.md
Information Systems 622 Study Guide,Legacy Systems,CHAPTER 4: System Architecture,legacy; new; processing; need; will; online; might; can; both; batches; when; introduced,126,126,documents/information-systems-622-study-guide/sections/4-1-6-legacy-systems.md
Information Systems 622 Study Guide,Processing Options,CHAPTER 4: System Architecture,companies; erp; bikes; both; processing; organization; its; architecture; software; order; options; corporate,123,126,documents/information-systems-622-study-guide/sections/4-1-7-processing-options.md
Information Systems 622 Study Guide,Security Issues,CHAPTER 4: System Architecture,security; portal; design; architecture; corporate; issues; measures; must; critical; necessary; customers; access,127,127,documents/information-systems-622-study-guide/sections/4-1-8-security-issues.md
Information Systems 622 Study Guide,Corporate Portals,CHAPTER 4: System Architecture,companies; both; erp; bikes; corporate; organization; its; architecture; costs; software; order; tco,124,127,documents/information-systems-622-study-guide/sections/4-1-9-corporate-portals.md
Information Systems 622 Study Guide,THE EVOLUTION OF SYSTEM ARCHITECTURE,CHAPTER 4: System Architecture,architecture; evolution; must; functions; every; business; fulfill; three; core; managing; execute; processing,128,128,documents/information-systems-622-study-guide/sections/4-2-the-evolution-of-system-architecture.md
Information Systems 622 Study Guide,Mainframe Architecture,CHAPTER 4: System Architecture,mainframe; processing; architecture; server; where; input; output; central; location; would; client; computers,128,128,documents/information-systems-622-study-guide/sections/4-2-1-mainframe-architecture.md
Information Systems 622 Study Guide,Impact of the Personal Computer,CHAPTER 4: System Architecture,stand-alone; personal; computer; processing; own; impact; users; could; databases; without; department; mode,129,129,documents/information-systems-622-study-guide/sections/4-2-2-impact-of-the-personal-computer.md
Information Systems 622 Study Guide,Network Evolution,CHAPTER 4: System Architecture,network; multiple; lans; distributed; evolution; technology; clients; area; lan; figure; tilley; rosenblatt,129,130,documents/information-systems-622-study-guide/sections/4-2-3-network-evolution.md
Information Systems 622 Study Guide,CLIENT/SERVER ARCHITECTURE,CHAPTER 4: System Architecture,client; server; architecture,131,131,documents/information-systems-622-study-guide/sections/4-3-client-server-architecture.md
Information Systems 622 Study Guide,CLIENT/SERVER ARCHITECTURE,CHAPTER 4: System Architecture,server; client; architecture; processing; request; computing; today; clients; setup; tasks; access; interaction,131,132,documents/information-systems-622-study-guide/sections/4-3-client-server-architecture-2.md
Information Systems 622 Study Guide,Client/Server Tiers:,CHAPTER 4: System Architecture,server; client; design; two-tier; tiers; designs; called; user; interface; stored; logic; can,133,133,documents/information-systems-622-study-guide/sections/4-3-2-client-server-tiers.md
Information Systems 622 Study Guide,Middleware,CHAPTER 4: System Architecture,middleware; software; client; server; through; known; explained; next; tilley; rosenblatt; multitier; special,134,134,documents/information-systems-622-study-guide/sections/4-3-3-middleware.md
Information Systems 622 Study Guide,Cost-Benefit Issues,CHAPTER 4: System Architecture,client; server; cost-benefit; issues; business; clients; businesses; expensive; platforms; meet; requirements; must,134,134,documents/information-systems-622-study-guide/sections/4-3-4-cost-benefit-issues.md
Information Systems 622 Study Guide,Performance Issues,CHAPTER 4: System Architecture,server; performance; client; clients; design; network; when; can; stored; ddbms; issues; architecture,135,135,documents/information-systems-622-study-guide/sections/4-3-5-performance-issues.md
Information Systems 622 Study Guide,THE IMPACT OF THE INTERNET,CHAPTER 4: System Architecture,cloud; internet; architecture; client; server; computing; has; environment; internet-based; traditional; interface; online,135,136,documents/information-systems-622-study-guide/sections/4-4-the-impact-of-the-internet.md
Information Systems 622 Study Guide,Web 2.0,CHAPTER 4: System Architecture,web; environment; collaboration; has; been; but; collaborate; share; internet; have; like; social,137,137,documents/information-systems-622-study-guide/sections/4-4-1-web-2-0.md
Information Systems 622 Study Guide,E-COMMERCE ARCHITECTURE,CHAPTER 4: System Architecture,e-commerce; architecture; solutions; rapid; growth; online; commerce; significantly; altering; landscape; must; efficient,138,138,documents/information-systems-622-study-guide/sections/4-5-e-commerce-architecture.md
Information Systems 622 Study Guide,In-House Solutions,CHAPTER 4: System Architecture,in-house; solutions,138,138,documents/information-systems-622-study-guide/sections/4-5-1-in-house-solutions.md
Information Systems 622 Study Guide,Packaged Solutions,CHAPTER 4: System Architecture,in-house; solutions; companies; packaged; developing; e-commerce; architecture; analysts; can; consider; service; providers,138,138,documents/information-systems-622-study-guide/sections/4-5-2-packaged-solutions.md
Information Systems 622 Study Guide,Service Providers,CHAPTER 4: System Architecture,web; cloud; providers; computing; internet; service; can; access; have; has; like; modify,136,139,documents/information-systems-622-study-guide/sections/4-5-3-service-providers.md
Information Systems 622 Study Guide,PROCESSING METHODS,CHAPTER 4: System Architecture,processing; methods; when; selecting; architecture; analyst; must; identify; which; transactions,140,140,documents/information-systems-622-study-guide/sections/4-6-processing-methods.md
Information Systems 622 Study Guide,Online Processing,CHAPTER 4: System Architecture,online; processing; handled; real-time; through; which; functions; any; can,140,140,documents/information-systems-622-study-guide/sections/4-6-1-online-processing.md
Information Systems 622 Study Guide,Batch Processing,CHAPTER 4: System Architecture,processing; batch; online; involves; transactions; analyst; will; batches; which; handled; executed; handling,140,140,documents/information-systems-622-study-guide/sections/4-6-2-batch-processing.md
Information Systems 622 Study Guide,Example,CHAPTER 4: System Architecture,processing; can; account; batch; online; when; customer; balance; times; card; atm; number,141,143,documents/information-systems-622-study-guide/sections/4-6-3-example.md
Information Systems 622 Study Guide,4. 7 NETWORK MODELS,4. 7 NETWORK MODELS,network; models; allows; sharing; resources; such; hardware; software; reduce; costs; provide; capabilities,144,144,documents/information-systems-622-study-guide/sections/4-4-7-network-models.md
Information Systems 622 Study Guide,The OSI Model,4. 7 NETWORK MODELS,osi; model,144,144,documents/information-systems-622-study-guide/sections/4-7-1-the-osi-model.md
Information Systems 622 Study Guide,Network Topology,4. 7 NETWORK MODELS,network; topology; layer; model; osi; layers; physical; computers; devices; logical; hierarchical; handle,144,148,documents/information-systems-622-study-guide/sections/4-7-2-network-topology.md
Information Systems 622 Study Guide,Network Devices,4. 7 NETWORK MODELS,network; devices; networks; internet; routers; connect; external; internal; traffic; lan; switch; router,149,149,documents/information-systems-622-study-guide/sections/4-7-3-network-devices.md
Information Systems 622 Study Guide,WIRELESS NETWORKS,4. 7 NETWORK MODELS,wireless; networks; many; network; relatively; computers; although; wired; lan; provides; enormous; flexibility,150,150,documents/information-systems-622-study-guide/sections/4-8-wireless-networks.md
Information Systems 622 Study Guide,Standards,4. 7 NETWORK MODELS,standards; wireless; networks; mbps; ieee; bandwidth; mimo; multiple; like; wired; counterparts; follow,150,150,documents/information-systems-622-study-guide/sections/4-8-1-standards.md
Information Systems 622 Study Guide,Topologies,4. 7 NETWORK MODELS,wireless; networks; network; standards; topologies; multiple; internet; lan; many; mbps; external; like,149,150,documents/information-systems-622-study-guide/sections/4-8-2-topologies.md
Information Systems 622 Study Guide,Trends,4. 7 NETWORK MODELS,wireless; wi-fi; has; devices; networks; trends; popularity; alliance; can; experience; interference; like,151,151,documents/information-systems-622-study-guide/sections/4-8-3-trends.md
Information Systems 622 Study Guide,4. 9 SYSTEMS DESIGN COMPLETION,4. 9 SYSTEMS DESIGN COMPLETION,design; completion; phase; analysis; process; functions; architecture; marks; conclusion; sdlc; all; functional,152,152,documents/information-systems-622-study-guide/sections/4-4-9-systems-design-completion.md
Information Systems 622 Study Guide,System Design Specification,4. 9 SYSTEMS DESIGN COMPLETION,design; specification; requirements; phase; user; detailed; costs; necessary; implementation; such; processing; serves,153,153,documents/information-systems-622-study-guide/sections/4-9-1-system-design-specification.md
Information Systems 622 Study Guide,Presentations,4. 9 SYSTEMS DESIGN COMPLETION,presentation; presentations; phase; approval; technical; support; implementation; final; team; next; users; those,154,154,documents/information-systems-622-study-guide/sections/4-9-3-presentations.md
Information Systems 622 Study Guide,SUMMARY,4. 9 SYSTEMS DESIGN COMPLETION,design; user; approval; phase; including; costs; processing; requirements; project; implementation; detailed; interface,153,156,documents/information-systems-622-study-guide/sections/4-10-summary.md
Information Systems 622 Study Guide,EXERCISE,4. 9 SYSTEMS DESIGN COMPLETION,what; wireless; architecture; network; your; internet; why; you; most; describe; not; research,157,157,documents/information-systems-622-study-guide/sections/114-exercise.md
Information Systems 622 Study Guide,CHAPTER 5: Managing Systems Implementation,CHAPTER 5: Managing Systems Implementation,managing; implementation; outcomes; reading; learner,158,158,documents/information-systems-622-study-guide/sections/5-chapter-5-managing-systems-implementation.md
Information Systems 622 Study Guide,QUALITY ASSURANCE,CHAPTER 5: Managing Systems Implementation,quality; assurance; explain; apply; can; testing; documentation; implementation; issues; three; techniques; help,158,158,documents/information-systems-622-study-guide/sections/5-1-quality-assurance.md
Information Systems 622 Study Guide,Software Engineering,CHAPTER 5: Managing Systems Implementation,software; engineering,159,159,documents/information-systems-622-study-guide/sections/117-software-engineering.md
Information Systems 622 Study Guide,Systems Engineering,CHAPTER 5: Managing Systems Implementation,engineering; software; level; sei; quality; involves; five; process; improvement; maturity; model; cmm,159,160,documents/information-systems-622-study-guide/sections/118-systems-engineering.md
Information Systems 622 Study Guide,International Organization for Standardization,CHAPTER 5: Managing Systems Implementation,iso; software; standards; international; organization; standardization; can; what; products; services; all; which,161,161,documents/information-systems-622-study-guide/sections/5-1-3-international-organization-for-standardization.md
Information Systems 622 Study Guide,APPLICATION DEVELOPMENT,CHAPTER 5: Managing Systems Implementation,project; process; modules; programs; code; analysis; even; manage; control; schedules; managers; refers,162,162,documents/information-systems-622-study-guide/sections/5-2-application-development.md
Information Systems 622 Study Guide,Review the System Design,CHAPTER 5: Managing Systems Implementation,diagrams; design; creating; focused; tasks; requirements; modeling; business; covered; process; point; helpful,163,163,documents/information-systems-622-study-guide/sections/5-2-1-review-the-system-design.md
Information Systems 622 Study Guide,Application Development Tasks,CHAPTER 5: Managing Systems Implementation,design; methods; tasks; completed; process; traditional; modules; tested; documented; agile; project; once,163,163,documents/information-systems-622-study-guide/sections/5-2-2-application-development-tasks.md
Information Systems 622 Study Guide,Systems Development Tools,CHAPTER 5: Managing Systems Implementation,tools; approaches; come; own; sets; work; well,164,164,documents/information-systems-622-study-guide/sections/5-2-3-systems-development-tools.md
Information Systems 622 Study Guide,STRUCTURED DEVELOPMENT,CHAPTER 5: Managing Systems Implementation,structured; respective; methodologies; heavily; relies,164,164,documents/information-systems-622-study-guide/sections/5-3-structured-development.md
Information Systems 622 Study Guide,Structure Charts,CHAPTER 5: Managing Systems Implementation,decision; diagrams; figure; tools; logic; modules; flowcharts; can; pseudocode; language; erds; used,164,168,documents/information-systems-622-study-guide/sections/5-3-1-structure-charts.md
Information Systems 622 Study Guide,Cohesion and Coupling,CHAPTER 5: Managing Systems Implementation,cohesion; coupling,169,169,documents/information-systems-622-study-guide/sections/5-3-2-cohesion-and-coupling.md
Information Systems 622 Study Guide,Coupling,CHAPTER 5: Managing Systems Implementation,cohesion; cohesive; customer; coupling; single; task; number; check; desirable; modules; named; than,169,169,documents/information-systems-622-study-guide/sections/5-3-2-coupling.md
Information Systems 622 Study Guide,Drawing a Structure Chart,CHAPTER 5: Managing Systems Implementation,structure; dfds; chart; modules; couples; identify; loops; object; control; step; diagrams; used,170,172,documents/information-systems-622-study-guide/sections/5-3-3-drawing-a-structure-chart.md
Information Systems 622 Study Guide,OBJECT-ORIENTED DEVELOPMENT,CHAPTER 5: Managing Systems Implementation,objects; object-oriented; design; object; customer; such; methods; interactions; diagrams; ooa; relationships; structure,173,174,documents/information-systems-622-study-guide/sections/5-4-object-oriented-development.md
Information Systems 622 Study Guide,Implementation of Object-Oriented Designs,CHAPTER 5: Managing Systems Implementation,diagrams; object-oriented; design; code; implementation; designs; object; model; sequence; state; transition; event-driven,175,175,documents/information-systems-622-study-guide/sections/5-4-2-implementation-of-object-oriented-designs.md
Information Systems 622 Study Guide,Object-Oriented Cohesion and Coupling,CHAPTER 5: Managing Systems Implementation,object-oriented; cohesion; coupling,175,175,documents/information-systems-622-study-guide/sections/5-4-3-object-oriented-cohesion-and-coupling.md
Information Systems 622 Study Guide,AGILE DEVELOPMENT,CHAPTER 5: Managing Systems Implementation,agile; communication; mentioned; unique; approach; while; follows; many; same; steps; traditional; relies,176,176,documents/information-systems-622-study-guide/sections/5-5-agile-development.md
Information Systems 622 Study Guide,Extreme Programming (XP),CHAPTER 5: Managing Systems Implementation,extreme; team; agile; method; follows; iterative; approach; shown; figure; users; developers; immerse,177,177,documents/information-systems-622-study-guide/sections/5-5-1-extreme-programming-xp.md
Information Systems 622 Study Guide,User Stories,CHAPTER 5: Managing Systems Implementation,user; stories; customer; help; project; items; story; requirement; scope; not; sales; manager,178,178,documents/information-systems-622-study-guide/sections/5-5-2-user-stories.md
Information Systems 622 Study Guide,Iterations and Releases,CHAPTER 5: Managing Systems Implementation,iterations; user; stories; releases; release; when; will; implemented; along; defining; team; must,178,178,documents/information-systems-622-study-guide/sections/5-5-3-iterations-and-releases.md
Information Systems 622 Study Guide,CODING,CHAPTER 5: Managing Systems Implementation,coding,178,178,documents/information-systems-622-study-guide/sections/5-6-coding.md
Information Systems 622 Study Guide,TESTING,CHAPTER 5: Managing Systems Implementation,user; stories; testing; team; customer; help; project; typically; items; which; release; process,178,178,documents/information-systems-622-study-guide/sections/5-7-testing.md
Information Systems 622 Study Guide,Testing Process After Coding,CHAPTER 5: Managing Systems Implementation,testing; process; coding; tested; next; critical; step; ensure; functions; correctly; carried; out,179,179,documents/information-systems-622-study-guide/sections/138-testing-process-after-coding.md
Information Systems 622 Study Guide,Unit Testing,CHAPTER 5: Managing Systems Implementation,testing; test; integration; unit; individual; errors; might; ensures; before; correct; possible; values,180,182,documents/information-systems-622-study-guide/sections/5-7-1-unit-testing.md
Information Systems 622 Study Guide,DOCUMENTATION,CHAPTER 5: Managing Systems Implementation,documentation; users; staff; who; maintenance; plays; crucial; role; describing; assisting; managers; need,183,183,documents/information-systems-622-study-guide/sections/5-8-documentation.md
Information Systems 622 Study Guide,Program Documentation,CHAPTER 5: Managing Systems Implementation,documentation,183,183,documents/information-systems-622-study-guide/sections/5-8-1-program-documentation.md
Information Systems 622 Study Guide,System Documentation,CHAPTER 5: Managing Systems Implementation,documentation; include; operations; user,183,183,documents/information-systems-622-study-guide/sections/5-8-2-system-documentation.md
Information Systems 622 Study Guide,Operations Documentation,CHAPTER 5: Managing Systems Implementation,operations; documentation,184,184,documents/information-systems-622-study-guide/sections/5-8-3-operations-documentation.md
Information Systems 622 Study Guide,User Documentation,CHAPTER 5: Managing Systems Implementation,documentation; user; modules; process; analysis; implementation; analysts; typically; report; layouts; sdlc; programmers,183,184,documents/information-systems-622-study-guide/sections/5-8-4-user-documentation.md
Information Systems 622 Study Guide,Online Documentation,CHAPTER 5: Managing Systems Implementation,documentation; online; help; user; technical; materials; must; especially; features; support; users; true,185,186,documents/information-systems-622-study-guide/sections/5-8-5-online-documentation.md
Information Systems 622 Study Guide,INSTALLATION,CHAPTER 5: Managing Systems Implementation,installation; training; testing; user; time; documentation; users; will; results; operational; usually; scheduled,187,187,documents/information-systems-622-study-guide/sections/5-9-installation.md
Information Systems 622 Study Guide,Operational and Test Environments,CHAPTER 5: Managing Systems Implementation,operational; test; environments,188,188,documents/information-systems-622-study-guide/sections/5-9-1-operational-and-test-environments.md
Information Systems 622 Study Guide,System Changeover,CHAPTER 5: Managing Systems Implementation,environment; operational; test; all; access; must; any; can; changeover; conducting; users; hardware,188,191,documents/information-systems-622-study-guide/sections/5-9-2-system-changeover.md
Information Systems 622 Study Guide,Data Conversion,CHAPTER 5: Managing Systems Implementation,conversion; new; process; old; test; format; odbc; crucial; part; installation; where; transferred,192,192,documents/information-systems-622-study-guide/sections/5-9-3-data-conversion.md
Information Systems 622 Study Guide,Training,CHAPTER 5: Managing Systems Implementation,old; new; operation; both; direct; cutover; parallel; errors; because; running; output; pilot,190,196,documents/information-systems-622-study-guide/sections/5-9-4-training.md
Information Systems 622 Study Guide,Post-Implementation Tasks,CHAPTER 5: Managing Systems Implementation,post-implementation; evaluation; tasks; implementation; quality; team; ensuring; well; performance; conduct; success; any,197,200,documents/information-systems-622-study-guide/sections/5-9-5-post-implementation-tasks.md
Information Systems 622 Study Guide,SUMMARY,CHAPTER 5: Managing Systems Implementation,testing; diagrams; modules; use; tools; design; structure; which; methods; agile; cohesion; coupling,201,203,documents/information-systems-622-study-guide/sections/5-10-summary.md
Information Systems 622 Study Guide,EXERCISE,CHAPTER 5: Managing Systems Implementation,what; testing; documentation; you; ides; your; would; design; quality; assurance; coupled; object-oriented,204,205,documents/information-systems-622-study-guide/sections/153-exercise.md
Information Systems 622 Study Guide,CHAPTER 6: Managing Systems Support and Security,CHAPTER 6: Managing Systems Support and Security,managing; support; security; outcomes; reading; learner,206,206,documents/information-systems-622-study-guide/sections/6-chapter-6-managing-systems-support-and-security.md
Information Systems 622 Study Guide,USER SUPPORT,CHAPTER 6: Managing Systems Support and Security,security; support; user; explain; maintenance; techniques; managing; identify; tasks; six; activities; related,206,206,documents/information-systems-622-study-guide/sections/6-1-user-support.md
Information Systems 622 Study Guide,User Training,CHAPTER 6: Managing Systems Support and Security,user; training,207,207,documents/information-systems-622-study-guide/sections/6-1-1-user-training.md
Information Systems 622 Study Guide,Help Desks,CHAPTER 6: Managing Systems Support and Security,help; support; user; training; users; desk; desks; technical; can; software; when; new,207,207,documents/information-systems-622-study-guide/sections/6-1-2-help-desks.md
Information Systems 622 Study Guide,Outsourcing Issues,CHAPTER 6: Managing Systems Support and Security,outsourcing; support; can; issues; companies; quality; customers; mentioned; many; outsource; parts; including,208,208,documents/information-systems-622-study-guide/sections/6-1-3-outsourcing-issues.md
Information Systems 622 Study Guide,MAINTENANCE TASKS,CHAPTER 6: Managing Systems Support and Security,maintenance; tasks,208,208,documents/information-systems-622-study-guide/sections/6-2-maintenance-tasks.md
Information Systems 622 Study Guide,Types of Maintenance,CHAPTER 6: Managing Systems Support and Security,security; user; support; training; users; help; maintenance; can; desks; new; desk; types,206,208,documents/information-systems-622-study-guide/sections/6-2-1-types-of-maintenance.md
